año;mes;sigla;provincia;pacientes_total;tasa_pacientes_total;pacientes_residencias;tasa_pacientes_residencias
2019;Mayo;SA;Salamanca;449;1.393959715;140;1.759014952
2019;Mayo;VA;Valladolid;612;1.176151793;196;2.216943785
2019;Mayo;ZA;Zamora;321;2.005986714;92;1.981904352
2019;Junio;AV;Ávila;149;1.000429715;57;1.32805219
2019;Junio;SA;Salamanca;318;0.988308128;116;1.457469531
2019;Junio;SE;Segovia;104;0.715844249;39;1.203332305
2019;Julio;PA;Palencia;184;1.19705161;72;1.406799531
2019;Julio;SO;Soria;107;1.231087844;45;1.598579041
2019;Agosto;PA;Palencia;138;0.897426726;53;1.035560766
2019;Agosto;SA;Salamanca;294;0.915348907;98;1.231310466
2019;Agosto;SE;Segovia;104;0.715164935;41;1.265041654
2019;Septiembre;SO;Soria;69;0.792702541;25;0.888099467
2019;Septiembre;VA;Valladolid;396;0.761623412;107;1.210270331
2019;Octubre;BU;Burgos;309;0.882552032;93;1.229833377
2019;Octubre;LE;León;496;1.141434295;129;1.516220028
2019;Octubre;SA;Salamanca;336;1.046810499;93;1.168488504
2019;Octubre;SO;Soria;107;1.228120516;32;1.136767318
2019;Octubre;VA;Valladolid;429;0.824666961;133;1.504354711
2019;Noviembre;AV;Ávila;168;1.127350324;66;1.537744641
2019;Noviembre;LE;León;431;0.992159408;110;1.292900799
2019;Noviembre;PA;Palencia;190;1.236286975;59;1.15279406
2019;Noviembre;SE;Segovia;123;0.844606194;46;1.419315026
2019;Noviembre;SO;Soria;83;0.952359097;23;0.81705151
2019;Noviembre;ZA;Zamora;182;1.143999346;54;1.163291685
2019;Diciembre;LE;León;438;1.00876799;107;1.257639868
2019;Diciembre;SE;Segovia;120;0.823231596;44;1.357605677
2019;Diciembre;VA;Valladolid;383;0.735462141;118;1.334690646
2019;Enero;BU;Burgos;524;1.481029259;155;2.049722296
2019;Enero;SA;Salamanca;539;1.659983616;156;1.960045232
2019;Enero;SO;Soria;165;1.889017368;49;1.740674956
2019;Febrero;SA;Salamanca;285;0.878220141;72;0.904636261
2019;Febrero;ZA;Zamora;212;1.314753143;53;1.141749246
2019;Marzo;VA;Valladolid;420;0.805061923;128;1.447800023
2019;Marzo;ZA;Zamora;250;1.558972824;67;1.443343386
2019;Abril;BU;Burgos;194;0.550557652;61;0.806664903
2019;Abril;PA;Palencia;167;1.085261243;59;1.15279406
2019;Abril;SA;Salamanca;218;0.677027044;77;0.967458223
2019;Abril;SE;Segovia;104;0.716287975;36;1.110768281
2019;Abril;ZA;Zamora;149;0.930691585;44;0.947867299
2019;Mayo;SO;Soria;150;1.726598831;46;1.63410302
2019;Junio;BU;Burgos;271;0.77253537;93;1.229833377
2019;Junio;PA;Palencia;151;0.982037174;52;1.016021884
2019;Junio;SO;Soria;64;0.736877252;21;0.746003552
2019;Julio;AV;Ávila;158;1.060310174;64;1.491146319
2019;Julio;BU;Burgos;359;1.026095407;117;1.547209733
2019;Julio;SA;Salamanca;374;1.163127008;113;1.419776354
2019;Julio;SE;Segovia;169;1.162278892;79;2.437519284
2019;Agosto;AV;Ávila;137;0.918735498;54;1.258154706
2019;Agosto;SO;Soria;86;0.988789882;33;1.172291297
2019;Agosto;ZA;Zamora;188;1.17841741;62;1.335631193
2019;Septiembre;AV;Ávila;149;0.998907236;47;1.095060578
2019;Septiembre;PA;Palencia;146;0.949420593;43;0.840171942
2019;Septiembre;SE;Segovia;120;0.824034335;42;1.295896328
2019;Septiembre;ZA;Zamora;183;1.148220885;45;0.969409737
2019;Octubre;AV;Ávila;159;1.066241064;59;1.374650513
2019;Octubre;PA;Palencia;159;1.034253971;52;1.016021884
2019;Diciembre;BU;Burgos;278;0.796194306;71;0.938905052
2019;Diciembre;SO;Soria;96;1.101043698;24;0.852575488
2018;Enero;BU;Burgos;413;1.16027532;139;1.838138059
2018;Enero;LE;León;684;1.545099279;159;1.868829337
2018;Enero;PA;Palencia;227;1.454969651;92;1.797577179
2018;Enero;SA;Salamanca;359;1.099860603;104;1.306696821
2018;Enero;SO;Soria;149;1.704903026;52;1.847246892
2018;Febrero;AV;Ávila;194;1.284674626;56;1.304753029
2018;Febrero;BU;Burgos;374;1.051125744;122;1.613329807
2018;Febrero;LE;León;573;1.294988417;155;1.821814763
2018;Febrero;SA;Salamanca;356;1.091114162;130;1.633371027
2018;Febrero;SE;Segovia;162;1.109627042;60;1.851280469
2018;Febrero;SO;Soria;109;1.248110658;38;1.34991119
2018;Febrero;VA;Valladolid;430;0.821769633;144;1.628775025
2018;Marzo;PA;Palencia;149;0.956937799;53;1.035560766
2018;Marzo;SO;Soria;95;1.088725389;34;1.207815275
2018;Abril;AV;Ávila;201;1.336276244;66;1.537744641
2018;Abril;BU;Burgos;384;1.081943102;134;1.772017985
2018;Abril;SE;Segovia;182;1.247258772;79;2.437519284
2018;Abril;ZA;Zamora;252;1.541699295;70;1.507970702
2018;Mayo;AV;Ávila;169;1.123946716;67;1.561043802
2018;Mayo;LE;León;572;1.296226214;141;1.657263752
2018;Mayo;SO;Soria;107;1.226445372;27;0.959147425
2018;Junio;LE;León;435;0.986132931;127;1.492712741
2018;Junio;VA;Valladolid;367;0.701386911;104;1.176337518
2018;Julio;SA;Salamanca;246;0.757107112;78;0.980022616
2018;Julio;SO;Soria;82;0.93982808;19;0.674955595
2018;Julio;ZA;Zamora;208;1.276527844;50;1.07712193
2018;Agosto;AV;Ávila;164;1.090657587;46;1.071761417
2018;Agosto;PA;Palencia;194;1.249573277;86;1.680343884
2018;Agosto;VA;Valladolid;433;0.827313181;146;1.651396901
2018;Septiembre;SE;Segovia;123;0.84347677;43;1.326751003
2018;Septiembre;ZA;Zamora;142;0.872509201;32;0.689358035
2018;Octubre;LE;León;511;1.159795277;109;1.281147156
2018;Octubre;ZA;Zamora;228;1.402265766;65;1.400258509
2018;Noviembre;SE;Segovia;145;0.994185728;49;1.51187905
2018;Noviembre;VA;Valladolid;422;0.805541822;136;1.538287524
2018;Diciembre;LE;León;275;0.624708942;68;0.799247767
2018;Diciembre;SE;Segovia;88;0.60269019;40;1.234186979
2018;Enero;VA;Valladolid;563;1.075889376;170;1.922859405
2018;Enero;ZA;Zamora;290;1.764000998;60;1.292546316
2018;Febrero;PA;Palencia;213;1.366383126;83;1.621727237
2018;Febrero;ZA;Zamora;216;1.31619838;50;1.07712193
2018;Marzo;SA;Salamanca;377;1.156572985;135;1.696192989
2018;Marzo;SE;Segovia;128;0.877331268;48;1.481024375
2018;Marzo;VA;Valladolid;419;0.800593089;131;1.481732836
2018;Abril;SO;Soria;114;1.306425551;35;1.243339254
2018;Abril;VA;Valladolid;436;0.832975116;135;1.526976586
2018;Mayo;BU;Burgos;337;0.95075002;114;1.507537688
2018;Mayo;PA;Palencia;186;1.196564701;69;1.348182884
2018;Mayo;VA;Valladolid;406;0.775922698;134;1.515665649
2018;Junio;AV;Ávila;146;0.971196701;45;1.048462255
2018;Junio;BU;Burgos;292;0.825493034;93;1.229833377
2018;Junio;SE;Segovia;124;0.850322643;52;1.604443073
2018;Junio;SO;Soria;99;1.134748521;29;1.030195382
2018;Julio;AV;Ávila;131;0.871277119;46;1.071761417
2018;Julio;LE;León;470;1.06570164;131;1.539727315
2018;Agosto;SA;Salamanca;334;1.028895324;93;1.168488504
2018;Agosto;SE;Segovia;144;0.986389199;63;1.943844492
2018;Agosto;ZA;Zamora;227;1.393381744;63;1.357173632
2018;Septiembre;AV;Ávila;141;0.937662096;32;0.745573159
2018;Septiembre;LE;León;422;0.956957329;107;1.257639868
2018;Septiembre;PA;Palencia;147;0.947116128;41;0.801094177
2018;Septiembre;SA;Salamanca;247;0.761426797;84;1.055408971
